name,address,website,phone_number
The Haven International Coffee House,"Shop no 3 Plot 10, Gardenia Gateway, Sector 75, Noida, Uttar Pradesh 201307",thehaveninternational.com,097170 59002
The Reader's Cafe,"P-15, 1st Floor, Sector 18, Noida, Uttar Pradesh 201301",thereaderscafe.in,075003 00303
Alma Bakery & Cafe Noida sector 104,"Second Floor, ATS ONE HAMLET Commercial Tower, Sector 104, Noida, Uttar Pradesh 201301",almafoods.in,089203 85892
Sparrows At Home Cafe,"First Floor, KM-01 Hajipur Market, Sector 104, Noida, Uttar Pradesh 201304",sparrowsathome.in,084473 41898
Roastery Coffee House | Noida,"Bl008, Roastery Street, near OXYGEN BUSINESS PARK, Sector 144, Noida, Uttar Pradesh 201306",roasterycoffee.co.in,089296 49344
The Big Chill Cafe,"Dlf Mall Of India, 3rd, Sector 18, Noida, Uttar Pradesh 201301",dotpe.in,0120 613 3299
The black coffee cafe,"Arun Vihar, Sector 37, Noida, Uttar Pradesh 201303",,072899 82986
Blue Tokai Coffee | Noida,"The Shop Noida B-126, Udhyog Marg, B Block, Sector 5, Noida, Uttar Pradesh 201301",bluetokaicoffee.com,093199 70303
Cold Rock Cafe,"Metro Station, Shop no 28 & 29 Amrapali Princely Estate Market, near Sector 76, Noida, Uttar Pradesh 201306",,098910 91796
Boho Cafe Noida,"Plot 1 , Sector 163 Nalgada, Noida, Uttar Pradesh 201306",instagram.com,099113 32779
